year,ID,block,ctrltmt,treat,dist_m,depth_cm,di_cm,OCC_g_100g,BD_g_cm3,mEquiv,mMeas,tC,SOC_ESM_Mg_ha2,SOC_Mg_ha2
2011,2CB4,B2,tmt,C,2.5,83,45,0.652473173,1.39,450000,62.55,32.36960072,29.35721157,40.81219697
2011,1FB4,B1,tmt,F,2.5,128,45,0.20019889,1.45,450000,65.25,31.02998276,9.007643752,13.06297757
2011,1FB4,B1,tmt,F,3.5,5,10,2.795568397,1.24,100000,12.4,8.063516129,27.95221747,34.66504812
2011,1FB4,B1,tmt,F,3.5,16,10,3.24,1.26,100000,12.6,7.935507937,32.3959176,40.824
2011,1FB4,B1,tmt,F,3.5,30,20,2.69,1.4,200000,28,14.28371429,53.792468,75.32
2011,1FB4,B1,tmt,F,3.5,50,20,0.895497731,1.39,200000,27.8,14.38648921,17.90746514,24.89483692
2011,1FB4,B1,tmt,F,3.5,83,45,0.647071413,1.46,450000,65.7,30.81741781,29.11396233,42.51259183
2011,1FB4,B1,tmt,F,3.5,128,45,0.596105668,1.39,450000,62.55,32.36960072,26.82102642,37.28640953
2011,1FB4,B1,tmt,F,4.5,5,10,2.396368679,1.37,100000,13.7,7.298270073,23.96040376,32.8302509
2011,1FB4,B1,tmt,F,4.5,16,10,2.9,1.48,100000,14.8,6.755756757,28.995708,42.92
