dateCollected,type,ID,rep,block,depth,BD,MC,coreLength,coreArea,coreVol,VMC,grid,lat,lon
03/10/2012,PA,30,2,1,50,1.37,0.2,53.9,7.092884,38.23,0.2,TL0430552382,52.159868,-0.47661792
03/10/2012,PA,22,2,1,5,1.1,0.36,52.9,7.092884,37.52,0.36,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,5,1.1,0.36,52.9,7.092884,37.52,0.36,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,5,1.03,0.36,41.3,7.092884,29.29,0.36,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,5,1.03,0.36,41.3,7.092884,29.29,0.36,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,5,1.04,0.37,65,7.092884,46.1,0.37,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,5,1.04,0.37,65,7.092884,46.1,0.37,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,15,1.2,0.28,51.3,7.092884,36.39,0.28,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,15,1.2,0.28,51.3,7.092884,36.39,0.28,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,15,1.26,0.24,41.4,7.092884,29.36,0.24,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,15,1.26,0.24,41.4,7.092884,29.36,0.24,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,15,1.21,0.25,49.6,7.092884,35.18,0.25,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,15,1.21,0.25,49.6,7.092884,35.18,0.25,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,30,1.26,0.26,54.5,7.092884,38.66,0.26,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,1,1,30,1.26,0.26,54.5,7.092884,38.66,0.26,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,30,1.25,0.28,39.4,7.092884,27.95,0.28,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,30,1.25,0.28,39.4,7.092884,27.95,0.28,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,30,1.4,0.23,50.4,7.092884,35.75,0.23,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,3,1,30,1.4,0.23,50.4,7.092884,35.75,0.23,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,50,1.44,0.19,45.9,7.092884,32.56,0.19,TL0431352455,52.160523,-0.47647861
03/10/2012,PA,22,2,1,50,1.44,0.19,45.9,7.092884,32.56,0.19,TL0431352455,52.160523,-0.47647861
